kernel,time_us,status,metric,timing,shape,hardware,framework,date,raw_result
aten_mish_backward,392.352,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_mish_backward torch_resident_us=392.352 timing=sync_wall shape='N=4194304'
aten_mm,103.904,PASS,torch_resident_us,sync_wall,M=512_N=512_K=512,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_mm torch_resident_us=103.904 timing=sync_wall shape='M=512_N=512_K=512'
aten_mse_loss,443.520,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_mse_loss torch_resident_us=443.520 timing=sync_wall shape='N=4194304'
aten_mul,310.784,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_mul torch_resident_us=310.784 timing=sync_wall shape='N=4194304'
aten_mv,318.304,PASS,torch_resident_us,sync_wall,M=4096_K=1024,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_mv torch_resident_us=318.304 timing=sync_wall shape='M=4096_K=1024'
aten_neg,226.400,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_neg torch_resident_us=226.400 timing=sync_wall shape='N=4194304'
aten_nested_softmax_backward_cpu,689.792,PASS,torch_resident_us,sync_wall,B=65536_N=64,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_nested_softmax_backward_cpu torch_resident_us=689.792 timing=sync_wall shape='B=65536_N=64'
aten_nested_sum_backward_cpu,274.944,PASS,torch_resident_us,sync_wall,B=724_N=5793,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_nested_sum_backward_cpu torch_resident_us=274.944 timing=sync_wall shape='B=724_N=5793'
aten_norm_cpu,170.080,PASS,torch_resident_us,sync_wall,K=2897_R=1448,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_norm_cpu torch_resident_us=170.080 timing=sync_wall shape='K=2897_R=1448'
aten_outer,335.808,PASS,torch_resident_us,sync_wall,M=2048_N=2048,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_outer torch_resident_us=335.808 timing=sync_wall shape='M=2048_N=2048'
aten_pow,314.304,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_pow torch_resident_us=314.304 timing=sync_wall shape='N=4194304'
aten_pow_tensor_scalar,294.144,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_pow_tensor_scalar torch_resident_us=294.144 timing=sync_wall shape='N=4194304'
aten_reciprocal,225.216,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_reciprocal torch_resident_us=225.216 timing=sync_wall shape='N=4194304'
aten_relu,227.552,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_relu torch_resident_us=227.552 timing=sync_wall shape='N=4194304'
aten_rms_norm,902.592,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_rms_norm torch_resident_us=902.592 timing=sync_wall shape='N=4194304'
aten_rsqrt,226.976,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_rsqrt torch_resident_us=226.976 timing=sync_wall shape='N=4194304'
aten_sampled_addmm_sparse_csr_cpu,2017.856,PASS,torch_resident_us,sync_wall,R=4096_K=512_C=4096_NNZ=262144_N=262144,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_sampled_addmm_sparse_csr_cpu torch_resident_us=2017.856 timing=sync_wall shape='R=4096_K=512_C=4096_NNZ=262144_N=262144'
aten_sigmoid,226.784,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_sigmoid torch_resident_us=226.784 timing=sync_wall shape='N=4194304'
aten_sigmoid_backward,387.264,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_sigmoid_backward torch_resident_us=387.264 timing=sync_wall shape='N=4194304'
aten_silu,227.232,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_silu torch_resident_us=227.232 timing=sync_wall shape='N=4194304'
aten_silu_backward,389.824,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_silu_backward torch_resident_us=389.824 timing=sync_wall shape='N=4194304'
aten_silu_cpu,225.568,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_silu_cpu torch_resident_us=225.568 timing=sync_wall shape='N=4194304'
aten_sin,223.840,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_sin torch_resident_us=223.840 timing=sync_wall shape='N=4194304'
aten_sinh,229.216,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_sinh torch_resident_us=229.216 timing=sync_wall shape='N=4194304'
aten_softmax,228.992,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_softmax torch_resident_us=228.992 timing=sync_wall shape='N=4194304'
aten_softplus,406.560,PASS,torch_resident_us,sync_wall,N=8388608,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_softplus torch_resident_us=406.560 timing=sync_wall shape='N=8388608'
aten_softplus_backward,228.864,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_softplus_backward torch_resident_us=228.864 timing=sync_wall shape='N=4194304'
aten_sort_cpu,390.464,PASS,torch_resident_us,sync_wall,K=4095_R=1024,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_sort_cpu torch_resident_us=390.464 timing=sync_wall shape='K=4095_R=1024'
aten_sparse_add_values_cpu,381.280,PASS,torch_resident_us,sync_wall,N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_sparse_add_values_cpu torch_resident_us=381.280 timing=sync_wall shape='N=4194304'
aten_sparse_addmm_cpu,1448.672,PASS,torch_resident_us,sync_wall,R=64_C=4096_N=4096,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_sparse_addmm_cpu torch_resident_us=1448.672 timing=sync_wall shape='R=64_C=4096_N=4096'
aten_sparse_coo_softmax_backward_cpu,16934.624,PASS,torch_resident_us,sync_wall,R=524288_K=8,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_sparse_coo_softmax_backward_cpu torch_resident_us=16934.624 timing=sync_wall shape='R=524288_K=8'
aten_sparse_csr_addmm_cpu,7353.344,PASS,torch_resident_us,sync_wall,R=65536_K=65536_C=64_N=4194304,Jetson_AGX_Orin_sm87_CUDA12.6,torch_2.6.0,2026-09-06,kernel=aten_sparse_csr_addmm_cpu torch_resident_us=7353.344 timing=sync_wall shape='R=65536_K=65536_C=64_N=4194304'
