kernel,resident_us,warm_us,device_speedup,shape,errors,hardware,date,timing,process_runs,warmups,correctness_scope
aten_shrink_backward,888.288,6735.155,7.582,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_sigmoid,1229.279785,1286.172803,1.046282,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_sigmoid_backward,1055.711914,1943.337500,1.840784,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_silu,1240.992188,1286.019238,1.036283,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_silu_backward,1050.271973,1934.534375,1.841937,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_silu_cpu,1635.936035,1661.084912,1.015373,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_sin,1284.895996,1317.564795,1.025425,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_sinh,1267.007812,1321.811230,1.043254,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_slow_conv3d_backward_input_cpu,1000.671875,17348.060840,17.336413,C=8_O=16_D=32_H=32_W=32_K=3,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_slow_conv3d_backward_weight_cpu,8587.552246,8838.390381,1.029210,C=8_O=16_D=32_H=32_W=32_K=3,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_smooth_l1_backward,886.784,6720.237,7.578,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_smooth_l1_elementwise,884.672,6686.944,7.559,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_softplus,1200.832031,2368.025684,1.971987,N=8388608,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_softplus_backward,853.536133,1735.702295,2.033543,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_softshrink,648.864,4703.542,7.249,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_sparse_add_values_cpu,850.687988,1734.966406,2.039486,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_sparse_addmm_cpu,102.624023,932.300830,9.084626,R=64_C=4096_N=4096,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_sparse_addmv_bsr_cpu,627.871582,610.844873,0.972882,R=4096_C=4096_BR=4_BC=4_N=262144,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,1,5,device_pointer_output_vs_C_reference
aten_sparse_addmv_csr_cpu,340.640137,1758.134473,5.161266,R=65536_C=65536_N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,1,5,device_pointer_output_vs_C_reference
aten_sparse_coo_to_csr_cpu,574.591999,956.457600,1.664586,N=4194304_R=65536,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06,,,,
aten_sparse_csr_addmm_cpu,6808.768066,19869.577588,2.918234,R=65536_K=65536_C=64_N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,5,device_pointer_output_vs_C_reference
aten_sparse_intersection_apply_cpu,884.128,6708.531,7.588,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_sparse_intersection_launch_cpu,892.032,6675.158,7.483,N=4194304,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-08-30,,,,
aten_sparse_matmul_cpu,154.144043,246.192139,1.597156,C=2047_N=16380_R=2047,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-07,best_of_20_synchronized_wall_us,3,,device_pointer_output_vs_C_reference
aten_sparse_matmul_csr_to_coo_cpu,846.688000,1290.659201,1.524362,N=4194304_R=65536,0,Jetson_AGX_Orin_sm87_CUDA12.6,2026-09-06,,,,
