kernel,time_us,status,metric,timing,shape,hardware,framework,date,raw_result
aten_layer_norm_cpu_backend,6210.575,PASS,torch_cpu_us,sync_wall,B=1024_D=4095,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_layer_norm_cpu_backend torch_cpu_us=6210.575 timing=sync_wall shape='B=1024_D=4095'
aten_leaky_relu,6938.040,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_leaky_relu torch_cpu_us=6938.040 timing=sync_wall shape='N=4194304'
aten_log,5944.493,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_log torch_cpu_us=5944.493 timing=sync_wall shape='N=4194304'
aten_logaddexp,7236.544,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_logaddexp torch_cpu_us=7236.544 timing=sync_wall shape='N=4194304'
aten_logaddexp2,5648.025,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_logaddexp2 torch_cpu_us=5648.025 timing=sync_wall shape='N=4194304'
aten_max_pool2d,12230.389,PASS,torch_cpu_us,sync_wall,B=16_C=32_H=128_W=128_K=2_S=2,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_max_pool2d torch_cpu_us=12230.389 timing=sync_wall shape='B=16_C=32_H=128_W=128_K=2_S=2'
aten_mean,5444.289,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_mean torch_cpu_us=5444.289 timing=sync_wall shape='N=4194304'
aten_mish,8000.163,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_mish torch_cpu_us=8000.163 timing=sync_wall shape='N=4194304'
aten_mish_backward,9938.090,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_mish_backward torch_cpu_us=9938.090 timing=sync_wall shape='N=4194304'
aten_mm,7406.908,PASS,torch_cpu_us,sync_wall,M=512_N=512_K=512,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_mm torch_cpu_us=7406.908 timing=sync_wall shape='M=512_N=512_K=512'
aten_mse_loss,11816.892,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_mse_loss torch_cpu_us=11816.892 timing=sync_wall shape='N=4194304'
aten_mul,6258.193,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_mul torch_cpu_us=6258.193 timing=sync_wall shape='N=4194304'
aten_mv,5653.970,PASS,torch_cpu_us,sync_wall,M=4096_K=1024,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_mv torch_cpu_us=5653.970 timing=sync_wall shape='M=4096_K=1024'
aten_neg,3971.184,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_neg torch_cpu_us=3971.184 timing=sync_wall shape='N=4194304'
aten_nested_softmax_backward_cpu,5875.113,PASS,torch_cpu_us,sync_wall,B=65536_N=64,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_nested_softmax_backward_cpu torch_cpu_us=5875.113 timing=sync_wall shape='B=65536_N=64'
aten_nested_sum_backward_cpu,4993.569,PASS,torch_cpu_us,sync_wall,B=724_N=5793,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_nested_sum_backward_cpu torch_cpu_us=4993.569 timing=sync_wall shape='B=724_N=5793'
aten_norm_cpu,883.697,PASS,torch_cpu_us,sync_wall,K=2897_R=1448,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_norm_cpu torch_cpu_us=883.697 timing=sync_wall shape='K=2897_R=1448'
aten_outer,8699.734,PASS,torch_cpu_us,sync_wall,M=2048_N=2048,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_outer torch_cpu_us=8699.734 timing=sync_wall shape='M=2048_N=2048'
aten_pow,6518.304,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_pow torch_cpu_us=6518.304 timing=sync_wall shape='N=4194304'
aten_pow_tensor_scalar,7647.379,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_pow_tensor_scalar torch_cpu_us=7647.379 timing=sync_wall shape='N=4194304'
aten_reciprocal,5895.907,PASS,torch_cpu_us,sync_wall,N=4194304,x86_64_host_24_threads,torch_2.6.0,2026-09-06,kernel=aten_reciprocal torch_cpu_us=5895.907 timing=sync_wall shape='N=4194304'
