kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state,cpu_samples,cpu_median_us,cpu_errors,native_gpu_samples,native_gpu_median_us,native_gpu_errors,raised_samples,raised_median_us,raised_errors,three_way_status
aten_copy_tensor_array_cpu,2,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=512_N=8192,f32,763d2776dbad0967,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"1708.896,1760.256,1797.024,1745.632,1714.720",1745.632000,,"217.088000,218.944000,221.120000,220.064000,223.776000",220.064000,0,"220.127991,219.616013,220.447998,220.159988,225.056000",220.159988,0,PENDING
aten_cos,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,bb94742dcdc246da,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"22527.328,22523.392,22547.744,22560.800,22549.376",22547.744000,,"224.032000,232.064000,227.936000,497.088000,223.520000",227.936000,0,"1319.200012,1339.391998,1360.928009,1295.648010,1330.175995",1330.175995,0,PENDING
aten_cosh,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,d7e37dcedb3b0e48,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"35051.520,35057.504,35171.904,35054.368,35043.712",35054.368000,,"232.256000,226.432000,227.616000,222.464000,224.416000",226.432000,0,"1295.232010,1295.199997,1276.096008,1274.912003,1273.824005",1276.096008,0,PENDING
aten_count_nonzero_impl_cpu,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,R=131072_C=64,f32,c958ea502e1138a8,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"19219.520,19011.968,18894.976,19028.416,18808.192",19011.968000,,"1222.816000,1231.072000,1232.672000,1227.552000,1222.496000",1227.552000,0,"5974.880005,5516.223999,5642.751999,5495.456009,5550.207993",5550.207993,0,PENDING
aten_cpu_blas_gemm_batched_cpu,3,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=52_K=311_M=208_N=259,f32,57f08d687ae9d16b,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"58548.256000,58634.592000,58538.624000,58529.536000,58544.640000",58544.640000,0,"1021.664000,1019.584000,1024.576000,1021.248000,1019.840000",1021.248000,0,,,,PENDING
aten_cpu_blas_gemm_cpu,3,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,K=2290_M=1374_N=1832,f32,acf1ac1e761ae7e6,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"349499.392000,349324.896000,349590.432000,349491.264000,349363.648000",349491.264000,0,"3757.184000,3753.760000,3757.376000,3753.312000,3755.392000",3755.392000,0,,,,PENDING
aten_cpu_blas_gemm_strided_batched_cpu,3,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,B=52_K=311_M=208_N=259,f32,eb3e1fa75831476a,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"59003.072000,58620.704000,58937.504000,58610.784000,58762.528000",58762.528000,0,"1024.128000,1023.136000,1024.608000,1021.952000,1020.192000",1023.136000,0,,,,PENDING
aten_cross,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=1398101,f32,b42870c4d04b959c,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"18884.160,18922.368,18885.216,18884.192,18885.568",18885.216000,,"318.752000,309.280000,312.928000,306.208000,306.304000",309.280000,0,,,,PENDING
aten_cross_cpu_backend,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,V=1398101,f32,9291ba8d1ebe364f,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"18969.184,18948.416,19014.112,19008.512,18964.384",18969.184000,,"311.840000,310.208000,313.792000,312.576000,310.752000",311.840000,0,,,,PENDING
aten_cumprod_cpu,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,K=2897_R=1448,f32,8c78205482ac384d,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"5815.392,5869.344,5818.912,5867.584,5810.656",5818.912000,,"310.176000,315.424000,308.320000,309.152000,310.912000",310.176000,0,,,,PENDING
aten_diff_cpu,3,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=16777216,f32,58729da87b52269a,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING,"6902.880000,7039.808000,6908.832000,7132.608000,6913.600000",6913.600000,0,"769.248000,762.464000,764.768000,761.504000,763.136000",763.136000,0,,,,PENDING
aten_div,3,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,3a958dcfd03cdc81,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING,"3093.376,3087.488,3087.264,3158.368,3128.544",3093.376000,,"333.248000,332.000000,320.224000,318.368000,316.544000",320.224000,0,"871.488007,864.512009,867.199997,867.488007,865.536011",867.199997,0,PENDING
