kernel,batch,cohort_basis,comparability,shape,dtype,recipe_fingerprint,cpu_runner,native_gpu_runner,raised_gpu_runner,input_alignment,current_protocol_state
aten_logaddexp,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,f8780f262412130a,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_logaddexp2,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,42ce8060fb0f98d2,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_logit,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,8d961159ef398d33,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_logit_backward,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,9d4fddc2f83a2bdf,exact_region_harness,exact_region_harness,polygeist_resident,PENDING,PENDING
aten_masked_scale,5,EXACT_EXTRACTED_REGION,EXACT_EXTRACTED_FIXTURE,N=4194304,f32,f023c7dce84c90d0,exact_region_harness,exact_region_harness,polygeist_resident,VERIFIED,PENDING
aten_max_pool2d,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,B=16_C=32_H=128_W=128_K=2_S=2,f32,a2ade0d34a8c60b6,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_maximum,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_BENCHMARK_DOMAIN,N=4194304,f32,20b4059e81d20c1b,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_minimum,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_BENCHMARK_DOMAIN,N=4194304,f32,3f5f73c24f2d1d36,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_mish,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,ed7cd796ed121579,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
aten_mish_backward,5,WHOLE_OPERATION_OR_BOUNDED_DOMAIN,EXACT_ATEN_OPERATION,N=4194304,f32,70bf6cbf89d9ad97,torch_recipe,aten_cpp_harness,polygeist_resident,PENDING,PENDING
